2013-05-12 23:06:16,279 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\Users\Florian\.m2\settings.xml -q exec:java
2013-05-12 23:06:58,405 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\public\workspace\fhbay-beans
2013-05-12 23:06:58,405 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\Users\Florian\.m2\settings.xml install jboss-as:deploy
2013-05-12 23:07:07,084 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\public\workspace\fhbay-beans-client
2013-05-12 23:07:07,084 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\Users\Florian\.m2\settings.xml -q exec:java
2013-05-12 23:07:45,596 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:07:45,596 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2013-05-12 23:07:45,596 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:07:45,612 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:07:48,857 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:07:48,857 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2013-05-12 23:07:48,857 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:07:48,857 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:07:55,362 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:07:55,362 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2013-05-12 23:07:55,362 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:07:55,377 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:08:23,473 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:08:23,473 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2013-05-12 23:08:23,473 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:08:23,473 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
